#TPA2051 Runnymede_20111005,,,,,,,,,
#mode/kind/i2c_cmds[7],,,,,,,,,
#kind = 0:spk, kind = 1:HEADSET, kind = 2:ring ,kind = 3:rev,kin=4 : 0ff,,,,,
0,4,0x00,0x90,0x00,0x00,0x00,0x00,0x00,#TPA2051_MODE_OFF
1,0,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_MODE_PLAYBACK_SPKR
2,1,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_MODE_PLAYBACK_HEADSET
3,2,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_MODE_RING
4,0,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_MODE_VOICECALL_SPKR
5,1,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_MODE_VOICECALL_HEADSET
6,0,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_reserve
7,1,0x00,0x8C,0x25,0x57,0xD3,0x0D,0xAD,#TPA2051_MODE_FM_HEADSET
8,3,0x00,0x82,0x25,0x57,0x13,0x4D,0x0D,#TPA2051_MODE_PLAYBACK_rev
9,3,0x00,0x82,0x25,0x57,0x13,0x4D,0x0D,#TPA2051_MODE_VOICECALL_rev
10,4,0x00,0x8C,0x25,0x57,0xD3,0x4D,0x0D,#TPA2051_MODE_PLAYBACK_HEADSET_BEATS_ON
11,5,0x00,0x8C,0x25,0x57,0xD3,0x0D,0x8D,#TPA2051_MODE_PLAYBACK_HEADSET_BEATS_OFF
